schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,provenance
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0001,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282-INTRO,precedes,O007-FREMLIN-V2-S282-SEG-282A,1,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0002,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282A,precedes,O007-FREMLIN-V2-S282-SEG-282AA,2,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0003,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282AA,precedes,O007-FREMLIN-V2-S282-SEG-282AB,3,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0004,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282AB,precedes,O007-FREMLIN-V2-S282-SEG-282AC,4,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0005,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282AC,precedes,O007-FREMLIN-V2-S282-SEG-282AD,5,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0006,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282AD,precedes,O007-FREMLIN-V2-S282-SEG-282AE,6,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0007,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282AE,precedes,O007-FREMLIN-V2-S282-SEG-282B,7,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0008,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282B,precedes,O007-FREMLIN-V2-S282-SEG-282BA,8,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0009,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282BA,precedes,O007-FREMLIN-V2-S282-SEG-282BB,9,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0010,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282BB,precedes,O007-FREMLIN-V2-S282-SEG-282BC,10,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0011,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282BC,precedes,O007-FREMLIN-V2-S282-SEG-282BD,11,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0012,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282BD,precedes,O007-FREMLIN-V2-S282-SEG-282C,12,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0013,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282C,precedes,O007-FREMLIN-V2-S282-SEG-282CB,13,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0014,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282CB,precedes,O007-FREMLIN-V2-S282-SEG-282D,14,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0015,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282D,precedes,O007-FREMLIN-V2-S282-SEG-282E,15,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0016,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282E,precedes,O007-FREMLIN-V2-S282-SEG-282F,16,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0017,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282F,precedes,O007-FREMLIN-V2-S282-SEG-282G,17,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0018,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282G,precedes,O007-FREMLIN-V2-S282-SEG-282H,18,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0019,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282H,precedes,O007-FREMLIN-V2-S282-SEG-282I,19,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0020,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282I,precedes,O007-FREMLIN-V2-S282-SEG-282J,20,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0021,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282J,precedes,O007-FREMLIN-V2-S282-SEG-282K,21,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0022,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282K,precedes,O007-FREMLIN-V2-S282-SEG-282L,22,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0023,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282L,precedes,O007-FREMLIN-V2-S282-SEG-282M,23,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0024,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282M,precedes,O007-FREMLIN-V2-S282-SEG-282N,24,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0025,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282N,precedes,O007-FREMLIN-V2-S282-SEG-282O,25,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0026,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282O,precedes,O007-FREMLIN-V2-S282-SEG-282P,26,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0027,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282P,precedes,O007-FREMLIN-V2-S282-SEG-282Q,27,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0028,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282Q,precedes,O007-FREMLIN-V2-S282-SEG-282R,28,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0029,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282R,precedes,O007-FREMLIN-V2-S282-SEG-282X,29,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0030,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282X,precedes,O007-FREMLIN-V2-S282-SEG-282XA,30,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0031,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XA,precedes,O007-FREMLIN-V2-S282-SEG-282XC,31,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0032,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XC,precedes,O007-FREMLIN-V2-S282-SEG-282XD,32,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0033,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XD,precedes,O007-FREMLIN-V2-S282-SEG-282XE,33,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0034,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XE,precedes,O007-FREMLIN-V2-S282-SEG-282XF,34,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0035,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XF,precedes,O007-FREMLIN-V2-S282-SEG-282XG,35,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0036,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XG,precedes,O007-FREMLIN-V2-S282-SEG-282XH,36,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0037,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XH,precedes,O007-FREMLIN-V2-S282-SEG-282XI,37,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0038,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XI,precedes,O007-FREMLIN-V2-S282-SEG-282XJ,38,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0039,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XJ,precedes,O007-FREMLIN-V2-S282-SEG-282XK,39,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0040,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XK,precedes,O007-FREMLIN-V2-S282-SEG-282XL,40,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0041,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XL,precedes,O007-FREMLIN-V2-S282-SEG-282XM,41,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0042,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XM,precedes,O007-FREMLIN-V2-S282-SEG-282XN,42,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0043,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XN,precedes,O007-FREMLIN-V2-S282-SEG-282XO,43,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0044,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XO,precedes,O007-FREMLIN-V2-S282-SEG-282XP,44,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0045,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XP,precedes,O007-FREMLIN-V2-S282-SEG-282XQ,45,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0046,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XQ,precedes,O007-FREMLIN-V2-S282-SEG-282XR,46,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0047,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XR,precedes,O007-FREMLIN-V2-S282-SEG-282XS,47,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0048,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XS,precedes,O007-FREMLIN-V2-S282-SEG-282XT,48,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0049,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282XT,precedes,O007-FREMLIN-V2-S282-SEG-282Y,49,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0050,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282Y,precedes,O007-FREMLIN-V2-S282-SEG-282YA,50,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0051,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282YA,precedes,O007-FREMLIN-V2-S282-SEG-282YB,51,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
1.1.0,relation,O007-FREMLIN-V2-S282-REL-0052,O007-FREMLIN-V2-S282,O007-FREMLIN-V2-S282-SEG-282YB,precedes,O007-FREMLIN-V2-S282-SEG-282YC,52,"{""basis"":""exact source order"",""kind"":""semantic-relation""}"
