schema_version,record_type,id,unit_id,subject_id,relation_type,object_id,order,provenance
1.1.0,relation,O007-FREMLIN-V1-S131-REL-001,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131CA,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131C,1,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-002,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131CB,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131C,2,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-003,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131EA,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131E,3,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-004,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131EB,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131E,4,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-005,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131EC,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131E,5,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-006,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131ED,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131E,6,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-007,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131FA,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131F,7,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-008,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131FB,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131F,8,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-009,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131FC,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131F,9,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
1.1.0,relation,O007-FREMLIN-V1-S131-REL-010,O007-FREMLIN-V1-S131,O007-FREMLIN-V1-S131-SEG-131F-PROOF-A,semantic-child-of,O007-FREMLIN-V1-S131-SEG-131F,10,"{""basis"":""implicit printed clause topology"",""kind"":""semantic-relation"",""source_resource_ids"":[""O007-RESOURCE-MT131-SOURCE""]}"
