schema_version,record_type,id,unit_id,rights_id,parent_id,order,source_anchor,semantic_anchor,target_anchor,anchor_kind,anchor_is_synthesized,segment_kind,source_label,target_label,source_line_start,source_line_end,target_line_start,target_line_end,source_char_start,source_char_end,target_char_start,target_char_end,source_segment_sha256,target_segment_sha256,provenance
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226-INTRO,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,1,226,226-intro,226-intro,unmarked-unit-introduction,false,exposition,226-intro,226-intro,11,15,11,15,221,447,200,479,8d557195b79fc0876dd46cdbee7f0c914543e70aac156549fa8fd24b720852ce,1e4e8a4a577e5bf0ebd5d97815204001d30ab5d967183f17f8ff5726e9404438,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226A,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,2,226A,226A,226A,explicit,false,exposition,226A,226A,16,21,16,20,447,710,479,752,1181bf53e23703109eece066274dc11ad85c11ebee9f1ddb8823d84ffd07fa17,3032417060b1a92d6cb4876c6b613d099c6ee92aedd349ce07d82cc2799cb95e,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226AA,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,3,226Aa,226Aa,226Aa,explicit,false,exposition,226Aa,226Aa,22,39,21,40,710,1423,752,1560,8b003b5b2b4891d5cb5ee799635bb647bc610685f79643c28c827bdde1e940ba,0ecbfb041a057d279ba9771c2995447662b188bcec90de4e6c5c2bb96da19ed3,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226AB,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,4,226Ab,226Ab,226Ab,explicit,false,exposition,226Ab,226Ab,40,83,41,82,1423,3067,1560,3376,9a46adeee43debed370b2f24c2901ab866a1362443e4051a967c2b57405bc331,e937b1fac06b95121621c6a3caecb288090814e924875b0e0e9afa8d0b527314,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226AC,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,5,226Ac,226Ac,226Ac,explicit,false,exposition,226Ac,226Ac,84,102,83,102,3067,4062,3376,4511,3aabf99fe9b88c259cc1958ecc32b1c9f0eddc8993a7dbe4fe45bed3669f700f,fd7f5760335e757e86057abffd3ace46ee531c8129cde562ffad2ce6a4a94547,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226AD,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,6,226Ad,226Ad,226Ad,explicit,false,exposition,226Ad,226Ad,103,170,103,170,4062,6562,4511,7283,10428f6439c9b150e03243a09ab8457f6085c6fcf46396d1254f4d62577e81b5,35c111fb2b19522466173526774803c50267ed12a8945565919ad8336311f22b,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226AE,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,7,226Ae,226Ae,226Ae,explicit,false,exposition,226Ae,226Ae,171,195,171,195,6562,7609,7283,8421,84f5c08a646daa976b9878b471384e32ecf52e7a3affba373110ec1867d342cb,2d33527baeac67a40980a38bd749917f2910e35f0dae6dcb7838510ff437f3bf,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226AF,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,8,226Af,226Af,226Af,explicit,false,exposition,226Af,226Af,196,254,196,255,7609,9670,8421,10664,771ce8adb38c1c7a6b69475a87f0cdf4317b553a7283a38b97eb7c3afae6f12f,c9df275e825fe88276e842aa0419f2e9116efc07987d9d78ed13535a19d76c23,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226B,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,9,226B,226B,226B,explicit,false,exposition,226B,226B,255,259,256,259,9670,9827,10664,10822,a9ebd9be927c99cf0084b84c5ba90780a297a3a86a4884f9e4ff9fda5cf26b9d,5053faa43a26ddf520e4613101a0735886c644278a2b84e3be5f2fd8af683830,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226BA,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,10,226Ba,226Ba,226Ba,explicit,false,exposition,226Ba,226Ba,260,270,260,270,9827,10231,10822,11272,39e5914deb742fd66bb917bdc71c15ea5940ef670a00f7380c235af7c8e8d97c,9e6c8affbe8fc6816db879d8c5c5318c629e2a2f541578e27b41a48327ed7c9a,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226BB,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,11,226Bb,226Bb,226Bb,explicit,false,exposition,226Bb,226Bb,271,318,271,321,10231,12082,11272,13291,7f02ebaab54292800f85c37eb3e4d96fcfe9f2e845f7c77628f29183a2f0e46c,d4a34963aa5a336f159a3ea14c623575bb5c505d582f499a22a6eee7df5db856,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
1.1.0,segment,O007-FREMLIN-V2-S226-SEG-226BC,O007-FREMLIN-V2-S226,O007-RIGHTS-FREMLIN-DSL,,12,226Bc,226Bc,226Bc,explicit,false,exposition,226Bc,226Bc,319,347,322,351,12082,13024,13291,14261,e8badd0019f36a70c11fed60e84771fc1cf8b2cfaddca0d58b35546c5dba2d63,bdd98402fbd72eccee124275bc34f423053025f1626d37f798cccd44081dbedd,"{""basis"":""exact bounded source and target character ranges"",""kind"":""source-target-segment-map""}"
